mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.20610485076904297,0.011792950855460078,0.013545942306518555,0.0002875966701785145,gini,1,2,50,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.6855851330989452,0.6901054746358614,0.7112004018081366,0.6916122551481667,0.6919597989949748,0.6940926127372169,0.00885044626172741,117
0.3602778911590576,0.009325750026799983,0.02262425422668457,0.00020965754985046787,gini,1,2,100,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6840783525866398,0.6921145153189352,0.7132094424912104,0.7031642390758412,0.6914572864321608,0.6968047671809574,0.010218726888718136,109
0.7131207942962646,0.009248583068998693,0.043157434463500975,0.0013720050360394181,gini,1,2,200,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6840783525866398,0.6891009542943245,0.7142139628327474,0.7016574585635359,0.6964824120603015,0.6971066280675099,0.010465059781627888,101
0.17832012176513673,0.00437087644860943,0.012340831756591796,0.00010955860604700473,gini,1,4,50,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 4, 'n_estimators': 50}",0.6855851330989452,0.6901054746358614,0.7112004018081366,0.6916122551481667,0.6919597989949748,0.6940926127372169,0.00885044626172741,117
0.3657696723937988,0.009906377508985306,0.022704410552978515,0.0007399346533801028,gini,1,4,100,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.6840783525866398,0.6921145153189352,0.7132094424912104,0.7031642390758412,0.6914572864321608,0.6968047671809574,0.010218726888718136,109
0.7239608287811279,0.018660126648768146,0.04179348945617676,0.00044449860118278453,gini,1,4,200,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.6840783525866398,0.6891009542943245,0.7142139628327474,0.7016574585635359,0.6964824120603015,0.6971066280675099,0.010465059781627888,101
0.17777304649353026,0.007165185295867904,0.012375783920288087,0.00018209151823541205,gini,1,6,50,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 6, 'n_estimators': 50}",0.6855851330989452,0.6901054746358614,0.7112004018081366,0.6916122551481667,0.6919597989949748,0.6940926127372169,0.00885044626172741,117
0.3608644962310791,0.013126163141474634,0.022882890701293946,0.0002892836834379039,gini,1,6,100,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 6, 'n_estimators': 100}",0.6840783525866398,0.6921145153189352,0.7132094424912104,0.7031642390758412,0.6914572864321608,0.6968047671809574,0.010218726888718136,109
0.732686185836792,0.038076618274084525,0.043522977828979494,0.001361203221852339,gini,1,6,200,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 6, 'n_estimators': 200}",0.6840783525866398,0.6891009542943245,0.7142139628327474,0.7016574585635359,0.6964824120603015,0.6971066280675099,0.010465059781627888,101
0.19037837982177735,0.004646564994004003,0.012969732284545898,0.00028271220305373633,gini,1,8,50,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 8, 'n_estimators': 50}",0.6855851330989452,0.6901054746358614,0.7112004018081366,0.6916122551481667,0.6919597989949748,0.6940926127372169,0.00885044626172741,117
0.36031489372253417,0.015568113681564891,0.022935914993286132,0.0005463799288052843,gini,1,8,100,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 8, 'n_estimators': 100}",0.6840783525866398,0.6921145153189352,0.7132094424912104,0.7031642390758412,0.6914572864321608,0.6968047671809574,0.010218726888718136,109
0.7343700408935547,0.03602015826976697,0.04310398101806641,0.0007915362592501138,gini,1,8,200,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 8, 'n_estimators': 200}",0.6840783525866398,0.6891009542943245,0.7142139628327474,0.7016574585635359,0.6964824120603015,0.6971066280675099,0.010465059781627888,101
0.25020651817321776,0.008538013983648025,0.01332850456237793,0.00026124686403886815,gini,2,2,50,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.6865896534404822,0.6911099949773983,0.7106981416373681,0.6971371170266197,0.6974874371859296,0.6966044688535595,0.00812626274031463,113
0.48471412658691404,0.011264346231155522,0.02419133186340332,0.000507541457213736,gini,2,2,100,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6911099949773983,0.6956303365143144,0.7096936212958312,0.6971371170266197,0.6984924623115578,0.6984127064251443,0.00616382521563458,85
0.9675845623016357,0.006118848245712173,0.04572114944458008,0.000340514673129127,gini,2,2,200,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6946258161727775,0.6956303365143144,0.7112004018081366,0.6991461577096936,0.7015075376884422,0.7004220499786727,0.005925131172673293,73
0.24573297500610353,0.003343121813966141,0.013096761703491212,0.00026340816089663165,gini,2,4,50,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 4, 'n_estimators': 50}",0.6865896534404822,0.6911099949773983,0.7106981416373681,0.6971371170266197,0.6974874371859296,0.6966044688535595,0.00812626274031463,113
0.4936050891876221,0.007002710938553103,0.023864173889160158,0.00018856824308672877,gini,2,4,100,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 4, 'n_estimators': 100}",0.6911099949773983,0.6956303365143144,0.7096936212958312,0.6971371170266197,0.6984924623115578,0.6984127064251443,0.00616382521563458,85
