,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.006368875503540039,0.0024122066399916006,0.6941704750061035,0.20253842902097174,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.5629970699037254,0.5696944328170783,0.5818334030975304,0.5726245290916702,0.5875209380234506,0.574934074586691,0.008732809309090633,56
1,0.009979963302612305,0.003715961936624672,0.812453031539917,0.03978409209294006,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.5659271661783173,0.5655085809962327,0.579321892005023,0.56802009208874,0.5829145728643216,0.5723384608265268,0.0073078413088776524,58
2,0.014067268371582032,0.001846970473784287,1.3175822257995606,0.05127226241033597,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5789033068229384,0.5763917957304311,0.5964838844704897,0.5910422771033905,0.5979899497487438,0.5881622427751987,0.008926359405670058,45
3,0.012997627258300781,0.0016824711505655937,1.1290143013000489,0.061709197565565865,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.583089158643784,0.5705316031812474,0.5948095437421516,0.5885307660108832,0.5946398659966499,0.5863201875149432,0.00900990365438627,46
4,0.012587308883666992,0.001667154532518803,1.3422284603118897,0.05645963700139959,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.5881121808287987,0.5805776475512767,0.5998325659271662,0.5902051067392214,0.6159966499162479,0.5949448301925422,0.012187166094545761,33
5,0.010896110534667968,0.000877884372786117,1.1535378456115724,0.06375224780100573,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.5872750104646296,0.5818334030975304,0.5964838844704897,0.5922980326496442,0.6067839195979899,0.5929348500560568,0.008486151278817758,37
6,0.01875958442687988,0.010463664392517051,1.3398015975952149,0.06717795472563017,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.5918794474675596,0.5918794474675596,0.5969024696525743,0.5914608622854751,0.6193467336683417,0.5982937921083021,0.010715770535154037,25
7,0.012571048736572266,0.0018197908652076347,1.1798689365386963,0.057531784449497934,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.594390958560067,0.5864378401004604,0.595228128924236,0.5927166178317288,0.6155778894472361,0.5968702869727457,0.00984791407206473,28
8,0.011280536651611328,0.0008453628508301962,1.2986051559448242,0.04813089048026357,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.6002511511092508,0.6061113436584344,0.606529928840519,0.5977396400167434,0.6080402010050251,0.6037344529259945,0.004001872937167677,9
9,0.011085414886474609,0.0019501862160679192,1.0998491764068603,0.03451101515384801,euclidean,11,distance,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.5969024696525743,0.5989953955629971,0.6107157806613646,0.5985768103809125,0.6059463986599665,0.602227370983563,0.00525378145212725,11
10,0.010928010940551758,0.0008693574785929514,1.268801736831665,0.042871414254502825,euclidean,13,uniform,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",0.5998325659271662,0.602762662201758,0.6086228547509418,0.6031812473838426,0.6025963149078727,0.6033991290343164,0.0028672201074907517,10
11,0.01167154312133789,0.0026931719933589345,1.0575877189636231,0.016061006799524963,euclidean,13,distance,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}",0.6069485140226036,0.6010883214734198,0.614064462118041,0.6035998325659272,0.602177554438861,0.6055757369237705,0.004680421178549193,4
12,0.0100067138671875,0.0014033879081880444,1.3132669448852539,0.09202407641069253,euclidean,15,uniform,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.5973210548346588,0.60569275847635,0.6077856843867727,0.5994139807450817,0.6005025125628141,0.6021431982011355,0.003945391550545159,12
13,0.012576007843017578,0.0016492876246051598,1.1709196090698242,0.04842069249257897,euclidean,15,distance,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",0.6069485140226036,0.6031812473838426,0.6102971954792801,0.6019254918375889,0.6046901172529313,0.6054085131952492,0.0029623997206645433,5
14,0.009980154037475587,0.0008187971381469226,1.2656655788421631,0.0881263634251251,euclidean,17,uniform,"{'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'uniform'}",0.5989953955629971,0.5989953955629971,0.6090414399330264,0.6111343658434492,0.6009212730318257,0.6038175739868591,0.0052099824802284474,8
15,0.012545967102050781,0.0027854572472322194,1.0940189361572266,0.0698920659233111,euclidean,17,distance,"{'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'distance'}",0.6044370029300963,0.6023440770196735,0.6094600251151109,0.6073670992046881,0.6088777219430486,0.6064971852425234,0.0027090509211106176,2
16,0.008194732666015624,0.0012559251725574691,1.2795976161956788,0.07059082164882839,euclidean,19,uniform,"{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'}",0.6019254918375889,0.5998325659271662,0.606529928840519,0.6090414399330264,0.6025963149078727,0.6039851482892347,0.0033303746448418384,7
