,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0035925388336181642,0.0012039955194422588,0.14376349449157716,0.03039800629433254,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.6454583507743826,0.6416910841356216,0.6387609878610297,0.6433654248639599,0.6620603015075377,0.6462672298285064,0.008194884359309818,55
1,0.002800321578979492,0.00040023867633061735,0.05569958686828613,0.0013846368876347108,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.6458769359564671,0.6421096693177062,0.6391795730431142,0.641272498953537,0.6603852596314908,0.6457647873804631,0.007624649203450351,56
2,0.002865028381347656,0.0004502642876165567,0.12927279472351075,0.0039289770585188896,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.6651318543323567,0.6571787358727501,0.65257429886982,0.6688991209711176,0.6628978224455612,0.6613363664983212,0.005798255760733559,50
3,0.0026013851165771484,0.0004907627861792381,0.0639145851135254,0.002876461753694974,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.6634575136040184,0.65257429886982,0.6508999581414818,0.6651318543323567,0.6641541038525963,0.6592435457600546,0.006174748449038855,53
4,0.0024024009704589843,0.000489030124972378,0.13613338470458985,0.017021667109676404,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.6735035579740477,0.6684805357890331,0.6546672247802428,0.6822938467978233,0.673785594639866,0.6705461519962026,0.009095665690387675,44
5,0.0024015426635742186,0.0004917777311541409,0.06263217926025391,0.002586994907564137,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.6726663876098786,0.6684805357890331,0.6542486395981583,0.6776894097948932,0.673785594639866,0.6693741134863658,0.008112001343869066,46
6,0.002651691436767578,0.0008318051725921498,0.15948266983032228,0.016064980505209638,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.6827124319799079,0.6684805357890331,0.6659690246965257,0.6839681875261616,0.6800670016750419,0.676239436333334,0.00750953283409936,32
7,0.0029546737670898436,0.0007490035440496344,0.07548818588256836,0.008223516325582377,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.6785265801590624,0.6663876098786103,0.6655504395144412,0.6843867727082461,0.682998324958124,0.6755699454436969,0.008079167525922543,33
8,0.0030012130737304688,1.7968600922981998e-06,0.15349740982055665,0.021001635951280385,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.6877354541649225,0.6739221431561323,0.6680619506069485,0.691084135621599,0.6767169179229481,0.6795041202945101,0.008622085887465738,18
9,0.00348048210144043,0.0005979502486164762,0.07279601097106933,0.003309931405243257,euclidean,11,distance,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.6848053578903307,0.6739221431561323,0.6668061950606948,0.6898283800753453,0.6804857621440537,0.6791695676653113,0.008093123346381228,19
10,0.0029134750366210938,0.00037206754328879596,0.15143318176269532,0.02129068058253831,euclidean,13,uniform,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",0.6764336542486395,0.672247802427794,0.6709920468815403,0.691084135621599,0.6758793969849246,0.6773274072328995,0.007184459336556764,28
11,0.0030021190643310545,2.9176823693806375e-06,0.07414608001708985,0.007655111801161157,euclidean,13,distance,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}",0.6822938467978233,0.6730849727919631,0.6730849727919631,0.6894097948932608,0.6771356783919598,0.679001853133394,0.006207479811946429,21
12,0.003101682662963867,0.0006634970441034285,0.1604893684387207,0.02092845644278469,euclidean,15,uniform,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.6810380912515697,0.6730849727919631,0.6726663876098786,0.69485140226036,0.6767169179229481,0.6796715543673439,0.008166768023871495,17
13,0.003202056884765625,0.00039861648799950996,0.07906036376953125,0.006106223413590331,euclidean,15,distance,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",0.6831310171619924,0.6718292172457095,0.672247802427794,0.6935956467141063,0.6750418760469011,0.6791691119193006,0.008278094638029454,20
14,0.0030005931854248046,1.419341665853235e-06,0.14276318550109862,0.005032874740553279,euclidean,17,uniform,"{'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'uniform'}",0.6877354541649225,0.6739221431561323,0.6793637505232315,0.6906655504395144,0.6825795644891123,0.6828532925545827,0.005947842221679844,9
15,0.0028564453125,0.0004394470920579112,0.07305927276611328,0.003864125880176426,euclidean,17,distance,"{'metric': 'euclidean', 'n_neighbors': 17, 'weights': 'distance'}",0.6860611134365844,0.6768522394307241,0.6802009208874006,0.6935956467141063,0.6825795644891123,0.6838578969915856,0.005723019804884149,5
16,0.0030019283294677734,2.8887045346948547e-06,0.14980511665344237,0.0066534032789667685,euclidean,19,uniform,"{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'}",0.6856425282544998,0.6806195060694852,0.6827124319799079,0.6906655504395144,0.6788107202680067,0.6836901474022827,0.004163210619809374,6
17,0.0031024456024169923,0.00020675763652509415,0.08200812339782715,0.0060644862163604955,euclidean,19,distance,"{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'distance'}",0.6881540393470071,0.6818752616157387,0.6806195060694852,0.6944328170782754,0.682998324958124,0.6856159898137261,0.005098788189368615,2
18,0.0030011653900146483,2.2537808033173513e-06,0.14565401077270507,0.00422121136552827,euclidean,21,uniform,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}",0.6894097948932608,0.6822938467978233,0.6785265801590624,0.69485140226036,0.6821608040201005,0.6854484856261214,0.005878438297963855,3
19,0.0029994487762451173,8.476442735019293e-07,0.0867586612701416,0.003177706373919856,euclidean,21,distance,"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'distance'}",0.6919213059857681,0.679782335705316,0.6776894097948932,0.6973629133528673,0.6825795644891123,0.6858671058655913,0.007530126135859978,1
20,0.0023190975189208984,0.00041093188883099943,0.263518762588501,0.02063716782008864,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.6571787358727501,0.6408539137714525,0.632900795311846,0.6416910841356216,0.6507537688442211,0.6446756595871783,0.008431265494004182,57
21,0.002948760986328125,0.0005522984370460265,0.25309000015258787,0.012623650870606207,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.6546672247802428,0.6370866471326915,0.6333193804939306,0.6395981582251988,0.6503350083752094,0.6430012838014546,0.00812626774493374,59
22,0.0034035205841064452,0.0010217229590078283,0.35059614181518556,0.011514885305943743,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.6730849727919631,0.6546672247802428,0.6496442025952281,0.6668061950606948,0.6658291457286433,0.6620063481913545,0.008568239144710915,49
23,0.0030011653900146483,0.0006309783330233325,0.22755370140075684,0.015628492212442606,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.6718292172457095,0.6521557136877355,0.6479698618668899,0.6626203432398493,0.6633165829145728,0.6595783437909514,0.008522492393981904,51
24,0.004301691055297851,0.0008547513565566621,0.3426057815551758,0.01887049236488608,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.6755964838844705,0.6580159062369192,0.6605274173294265,0.6818752616157387,0.6846733668341709,0.6721376871801452,0.010937549615283105,42
25,0.003601837158203125,0.000799804558811451,0.23548369407653807,0.022983781778989573,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.6776894097948932,0.6584344914190038,0.6609460025115111,0.6814566764336543,0.6796482412060302,0.6716349642730185,0.009857396559512174,43
26,0.0034067630767822266,0.0010110500616786894,0.3340725898742676,0.02007757521186106,manhattan,9,uniform,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.6860611134365844,0.6697362913352868,0.6605274173294265,0.6915027208036836,0.6700167504187605,0.6755688586647484,0.011446091716664735,34
27,0.003603553771972656,0.0004867804828731303,0.2303865909576416,0.01713120655239116,manhattan,9,distance,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.6856425282544998,0.6642946839681875,0.6613645876935956,0.6877354541649225,0.6683417085427136,0.6734757925247838,0.011033587481267768,39
28,0.003610372543334961,0.0010251479024790972,0.34639554023742675,0.010203778458232383,manhattan,11,uniform,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}",0.6877354541649225,0.6655504395144412,0.6596902469652575,0.6860611134365844,0.6771356783919598,0.6752345864946331,0.011068050620370659,36
29,0.0027999401092529295,0.00039946653776381564,0.23804354667663574,0.020054816806858878,manhattan,11,distance,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.6852239430724152,0.6634575136040184,0.6634575136040184,0.6852239430724152,0.6754606365159129,0.6745647099737561,0.009744545215287052,38
30,0.0034072399139404297,0.000806573499344633,0.3286457538604736,0.02299586567232678,manhattan,13,uniform,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'uniform'}",0.6802009208874006,0.6726663876098786,0.6672247802427794,0.6885726245290916,0.6754606365159129,0.6768250699570126,0.007221125784875131,29
31,0.0031996250152587892,0.0009802431518668745,0.24301786422729493,0.023799765733218743,manhattan,13,distance,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}",0.6827124319799079,0.6697362913352868,0.6693177061532022,0.6881540393470071,0.6771356783919598,0.6774112294414727,0.007321153400283464,27
