mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.016560935974121095,0.000596166514701356,0.00237126350402832,0.0002051330732098253,gini,1,2,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 2}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.01685299873352051,0.0003792856875664934,0.002436399459838867,0.0002080101199285148,gini,1,4,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 4}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.017446422576904298,0.001785772324799143,0.002331066131591797,0.00018797852170368898,gini,1,6,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 6}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.016167211532592773,0.0007030231043748664,0.0023701667785644533,0.0003845816105900866,gini,1,8,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 8}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.016141223907470702,0.0004424591338827292,0.0023209571838378905,0.00013509524635821443,gini,1,10,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 10}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.022540998458862305,0.004328966710367453,0.00460052490234375,0.001558216232874865,gini,1,12,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 12}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.01555023193359375,0.000554136164706765,0.0023109912872314453,0.00041614382259514966,gini,1,14,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 14}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.016923284530639647,0.0010061791324809891,0.0027604103088378906,0.0007536831315792008,gini,1,16,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 16}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.015379571914672851,0.0006456507113754275,0.002247524261474609,0.00016489876956434695,gini,1,18,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 18}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.026308250427246094,0.0005026172496346883,0.002199602127075195,4.1613270356403486e-05,gini,2,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.02640643119812012,0.0005971516395589472,0.0026199817657470703,0.0003787847141024065,gini,2,4,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 4}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.02767176628112793,0.0017058767155916509,0.0029758453369140626,0.0004771417265007683,gini,2,6,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 6}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.02661161422729492,0.0009075159408203745,0.002546262741088867,0.00042875351815200435,gini,2,8,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.02674441337585449,0.0013018626693774894,0.0021738052368164063,8.007835201523458e-05,gini,2,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.029880428314208986,0.006844393855026597,0.0027245521545410157,0.0006080470051696895,gini,2,12,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 12}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.03350229263305664,0.008390752895929386,0.002371549606323242,0.00011968147223187636,gini,2,14,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 14}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.027044963836669923,0.0005554730354251307,0.0026317596435546874,0.0005156483737407022,gini,2,16,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 16}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
0.027313756942749023,0.0011197768060800335,0.0032530307769775392,0.0011886152888425142,gini,2,18,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 18}",0.6755399296835761,0.67754897036665,0.6931190356604722,0.688598694123556,0.6743718592964824,0.6818356978261473,0.0075732878727301075,126
